,movie_index,code,mbti,title,subtitle,link,image,pubDate,director,actors,rating
2139,1238,158632,ESFJ ENFP ISFJ INTJ ,우리 처음 만났을 때,When We First Met,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158632,https://ssl.pstatic.net/imgmovie/mdi/mit110/1586/158632_P01_110850.jpg,2018,아리 산델,"['알렉산드라 다드다리오', '아담 드바인']",6.55
2140,1239,19088,ESFJ ESTJ ,로스트 인 스페이스,Lost In Space,https://movie.naver.com/movie/bi/mi/basic.nhn?code=19088,https://ssl.pstatic.net/imgmovie/mdi/mit110/0190/19088_P25_103054.jpg,1998,스티븐 홉킨스,"['윌리엄 허트', '미미 로저스', '헤더 그레이엄', '레이시 샤버트', '잭 존슨', '게리 올드만']",8.02
2141,1241,76692,ESFJ ESTP ENTJ ISFJ ,디스 민즈 워,This Means War,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76692,https://ssl.pstatic.net/imgmovie/mdi/mit110/0766/76692_P04_171850.jpg,2012,맥지,"['리즈 위더스푼', '크리스 파인', '톰 하디']",8.2
2142,1242,71539,ESFJ ENFP ENFJ ,클로이,Chloe,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71539,https://ssl.pstatic.net/imgmovie/mdi/mit110/0715/71539_P52_190302.jpg,2009,아톰 에고이안,"['줄리안 무어', '리암 니슨', '아만다 사이프리드']",7.83
2144,1243,66091,ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ ,벤자민 버튼의 시간은 거꾸로 간다,The Curious Case Of Benjamin Button,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66091,https://ssl.pstatic.net/imgmovie/mdi/mit110/0660/66091_P91_174247.jpg,2008,데이빗 핀처,"['브래드 피트', '케이트 블란쳇']",8.94
2146,1246,87163,ESFJ ,셰임,Shame,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87163,https://ssl.pstatic.net/imgmovie/mdi/mit110/0871/87163_P47_113756.JPG,2011,스티브 맥퀸,"['마이클 패스벤더', '캐리 멀리건', '제임스 뱃지 데일']",8.23
2148,1247,44618,ESFJ ENFP ISFP ISFJ ISTP ,힐즈 아이즈,The Hills Have Eyes,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44618,https://ssl.pstatic.net/imgmovie/mdi/mit110/0446/D4618-01.jpg,2006,알렉산드르 아야,"['아론 스탠포드', '캐슬린 퀸란']",6.78
2149,1248,92116,ESFJ ESTP ENTP ISTP ISTJ INFP INTJ ,파닥파닥,Padak,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92116,https://ssl.pstatic.net/imgmovie/mdi/mit110/0921/92116_P14_143401.jpg,2012,이대희,"['시영준', '김현지', '안영미', '현경수', '이호산', '김은주']",8.63
2150,1249,12324,ESFJ ESTJ ENTP ISFJ ISTJ INTP ,어 퓨 굿 맨,A Few Good Men,https://movie.naver.com/movie/bi/mi/basic.nhn?code=12324,https://ssl.pstatic.net/imgmovie/mdi/mit110/0123/A2324-00.jpg,1992,로브 라이너,"['톰 크루즈', '잭 니콜슨', '데미 무어']",9.16
2151,1251,76841,ESFJ ESTP ENFP ENFJ ISFJ INTJ ,세르비안 필름,A Serbian Film,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76841,https://ssl.pstatic.net/imgmovie/mdi/mit110/0768/76841_P06_142712.jpg,2010,스르쟌 스파소예비치,"['스디안 토도로빅', '세르게이 트리푸노빅']",5.8
2152,1252,186349,ESFJ ESTP ESTJ ENFJ ISFP ISTP ISTJ INTP ,체크 히어로,Checkered Ninja,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186349,https://ssl.pstatic.net/imgmovie/mdi/mit110/1863/186349_P12_132156.jpg,2018,토르비욘 크리스토퍼센,"['이다은', '남도형']",7.15
2154,1254,28637,ESFJ ENFP ENTJ ,UHF 전쟁,UHF,https://movie.naver.com/movie/bi/mi/basic.nhn?code=28637,https://ssl.pstatic.net/imgmovie/mdi/mit110/0286/B8637-01.jpg,1989,제이 레비,"['위어드 알 얀코빅', '빅토리아 잭슨']",8.8
2156,1256,61845,ESFJ ESTP ESTJ ENFJ ENTJ ISFP ISFJ INFJ ,천일의 스캔들,The Other Boleyn Girl,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61845,https://ssl.pstatic.net/imgmovie/mdi/mit110/0618/F1845-00.jpg,2008,저스틴 채드윅,"['나탈리 포트만', '스칼릿 조핸슨', '에릭 바나']",8.21
2157,1256,61965,ESFJ ESTP ESTJ ENFJ ENTJ ISFP ISFJ INFJ ,또다른 볼린 여인,The Other Boleyn Girl,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61965,https://ssl.pstatic.net/imgmovie/mdi/mit110/0619/61965_P05_123909.jpg,2003,필립파 로소프,"['나타샤 맥켈혼', '조디 메이', '자레드 해리스']",9.4
2159,1258,35976,ESFJ ESTP ISFP ISFJ ISTP ISTJ ,포 페더스,The Four Feathers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35976,https://ssl.pstatic.net/imgmovie/mdi/mit110/0359/C5976-00.jpg,2002,세자르 카푸르,"['히스 레저', '웨스 벤틀리', '케이트 허드슨']",7.2
2160,1259,75213,ESFJ ENFP ISFJ ,사랑은 살며시 다가오고,Love Comes Softly,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75213,https://ssl.pstatic.net/imgmovie/mdi/mit110/0752/75213_P01_214959.jpg,2003,마이클 랜던 주니어,"['캐서린 헤이글', '데일 미드키프']",8.17
