,movie_index,code,mbti,title,subtitle,link,image,pubDate,director,actors,rating
1,1,144694,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,스타워즈: 라이즈 오브 스카이워커,Star Wars: The Rise of Skywalker,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144694,https://ssl.pstatic.net/imgmovie/mdi/mit110/1446/144694_P34_144547.jpg,2019,J.J. 에이브럼스,"['존 보예가', '데이지 리들리', '아담 드라이버', '오스카 아이삭']",6.66
2,1,144693,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,한 솔로: 스타워즈 스토리,Solo: A Star Wars Story,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144693,https://ssl.pstatic.net/imgmovie/mdi/mit110/1446/144693_P08_135331.jpg,2018,론 하워드,"['엘든 이렌리치', '에밀리아 클라크', '우디 해럴슨', '폴 베타니']",7.86
3,1,125488,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,스타워즈: 라스트 제다이,Star Wars: The Last Jedi,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125488,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125488_P20_135324.jpg,2017,라이언 존슨,"['데이지 리들리', '마크 해밀', '오스카 아이삭', '아담 드라이버', '캐리 피셔', '존 보예가']",6.35
5,1,136868,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,로그 원: 스타워즈 스토리,Rogue One: A Star Wars Story,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136868,https://ssl.pstatic.net/imgmovie/mdi/mit110/1368/136868_P75_101138.jpg,2016,가렛 에드워즈,"['펠리시티 존스', '디에고 루나', '매즈 미켈슨', '리즈 아메드', '포레스트 휘태커', '견자단', '강문']",8.49
7,1,100072,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,스타워즈: 깨어난 포스,Star Wars : The Force Awakens,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100072,https://ssl.pstatic.net/imgmovie/mdi/mit110/1000/100072_P77_104127.jpg,2015,J.J. 에이브럼스,"['해리슨 포드', '마크 해밀', '캐리 피셔', '도널 글리슨', '그웬돌린 크리스티', '사이먼 페그', '오스카 아이삭', '막스 폰 시도우', '존 보예가', '데이지 리들리', '아담 드라이버']",7.74
10,1,49821,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,스타 워즈: 클론 전쟁,Star Wars: The Clone Wars,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49821,https://ssl.pstatic.net/imgmovie/mdi/mit110/0498/D9821-00.jpg,2008,데이브 필로니,"['맷 랜터', '사무엘 L. 잭슨', '이안 아베크롬비', '코리 버튼', '톰 케인', '제임스 아놀드 테일러', '캐서린 타버']",7.51
11,2,47528,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 죽음의 성물 - 2부,Harry Potter And The Deathly Hallows: Part 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47528,https://ssl.pstatic.net/imgmovie/mdi/mit110/0475/47528_P50_144916.jpg,2011,데이빗 예이츠,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",9.32
12,2,67901,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 죽음의 성물 - 1부,Harry Potter And The Deathly Hallows: Part 1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67901,https://ssl.pstatic.net/imgmovie/mdi/mit110/0679/67901_P52_160214.jpg,2010,데이빗 예이츠,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",8.21
13,2,67900,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 혼혈 왕자,Harry Potter And The Half-Blood Prince,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67900,https://ssl.pstatic.net/imgmovie/mdi/mit110/0679/67900_P01_130458.jpg,2009,데이빗 예이츠,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",6.97
14,2,57095,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 불사조 기사단,Harry Potter And The Order Of The Phoenix,https://movie.naver.com/movie/bi/mi/basic.nhn?code=57095,https://ssl.pstatic.net/imgmovie/mdi/mit110/0570/E7095-00.jpg,2007,데이빗 예이츠,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",7.03
15,2,37883,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 불의 잔,Harry Potter And The Goblet Of Fire,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37883,https://ssl.pstatic.net/imgmovie/mdi/mit110/0378/37883_P158_182652.jpg,2005,마이크 뉴웰,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",8.03
16,2,35546,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35546,https://ssl.pstatic.net/imgmovie/mdi/mit110/0355/35546_P88_142722.jpg,2004,알폰소 쿠아론,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",8.74
17,2,33930,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,https://movie.naver.com/movie/bi/mi/basic.nhn?code=33930,https://ssl.pstatic.net/imgmovie/mdi/mit110/0339/C3930-06.jpg,2002,크리스 콜럼버스,"['다니엘 래드클리프', '루퍼트 그린트', '엠마 왓슨']",8.91
18,2,30688,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,해리 포터와 마법사의 돌,Harry Potter And The Sorcerer's Stone,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30688,https://ssl.pstatic.net/imgmovie/mdi/mit110/0306/30688_P28_142632.jpg,2001,크리스 콜럼버스,"['다니엘 래드클리프', '루퍼트 그린트', '엠마 왓슨']",9.36
19,3,16521,ESFP ESFJ ENFJ ENTP ENTJ ISFP ISTJ INTJ ,라이온 킹,The Lion King,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16521,https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/16521_P45_105412.jpg,1994,로저 알러스,"['조나단 테일러 토마스', '매튜 브로데릭', '제임스 얼 존스', '제레미 아이언스', '모이라 켈리', '니케타 캘레임']",9.3
20,4,69940,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISTP ISTJ INFP INTJ ,슈렉 포에버,Shrek Forever After,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69940,https://ssl.pstatic.net/imgmovie/mdi/mit110/0699/69940_P54_111153.jpg,2010,마이크 미첼,"['마이크 마이어스', '에디 머피', '카메론 디아즈', '안토니오 반데라스']",8.04
21,4,43838,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISTP ISTJ INFP INTJ ,슈렉 3,Shrek The Third,https://movie.naver.com/movie/bi/mi/basic.nhn?code=43838,https://ssl.pstatic.net/imgmovie/mdi/mit110/0438/D3838-00.jpg,2007,크리스 밀러,"['마이크 마이어스', '에디 머피', '카메론 디아즈', '안토니오 반데라스']",6.57
22,4,46811,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISTP ISTJ INFP INTJ ,슈렉 더 홀스,Shrek The Halls,https://movie.naver.com/movie/bi/mi/basic.nhn?code=46811,https://ssl.pstatic.net/imgmovie/mdi/mit110/0468/46811_P01_113240.jpg,2007,게리 트러스데일,"['마이크 마이어스', '에디 머피', '카메론 디아즈', '안토니오 반데라스']",8.0
23,4,34519,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISTP ISTJ INFP INTJ ,슈렉 2,Shrek 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34519,https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4519-00.jpg,2004,앤드류 아담슨,"['마이크 마이어스', '에디 머피', '카메론 디아즈', '줄리 앤드류스', '안토니오 반데라스', '존 클리즈', '루퍼트 에버릿', '제니퍼 손더스']",8.53
24,4,31579,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISTP ISTJ INFP INTJ ,슈렉,Shrek,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31579,https://ssl.pstatic.net/imgmovie/mdi/mit110/0315/C1579-00.jpg,2001,앤드류 아담슨,"['마이크 마이어스', '에디 머피', '카메론 디아즈', '존 리스고']",8.89
25,5,136990,ESFP ESTP ESTJ ENFP ENFJ ENTJ ISFP ISFJ ISTJ INFP INTJ ,인크레더블 2,Incredibles 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136990,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136990_P27_140604.jpg,2018,브래드 버드,"['사무엘 L. 잭슨', '홀리 헌터', '크레이그 T. 넬슨', '사라 보웰', '헉 밀너']",9.22
27,5,36798,ESFP ESTP ESTJ ENFP ENFJ ENTJ ISFP ISFJ ISTJ INFP INTJ ,인크레더블,The Incredibles,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36798,https://ssl.pstatic.net/imgmovie/mdi/mit110/0367/C6798-00.jpg,2004,브래드 버드,"['크레이그 T. 넬슨', '홀리 헌터']",9.25
28,6,18847,ESFP ESTP ESTJ ENFP ENTP ISFP ISFJ ISTJ INFJ ,타이타닉,Titanic,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18847,https://ssl.pstatic.net/imgmovie/mdi/mit110/0188/18847_P96_094922.jpg,1997,제임스 카메론,"['레오나르도 디카프리오', '케이트 윈슬렛']",9.41
29,7,13008,ESFP ESFJ ESTP ESTJ ENFP ENTP INTJ ,알라딘,Aladdin,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13008,https://ssl.pstatic.net/imgmovie/mdi/mit110/0130/13008_P25_151011.jpg,1992,존 머스커,"['스콧 와인거', '로빈 윌리엄스', '린다 라킨']",9.35
30,7,72708,ESFP ESFJ ESTP ESTJ ENFP ENTP INTJ ,알라딘,Aladdin,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72708,https://ssl.pstatic.net/imgmovie/mdi/mit110/0727/72708_P01_105901.jpg,1992,데이빗 드웨이티스,"['닉키 스토터', '데릭 제이코비']",1.0
31,8,10004,ESFP ESFJ ESTP ENTP ISFP ISFJ ISTJ INFJ INTP ,빽 투 더 퓨쳐 3,Back To The Future Part III,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10004,https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/A0004-00.jpg,1990,로버트 저메키스,"['마이클 J. 폭스', '크리스토퍼 로이드', '메리 스틴버겐', '토머스 F. 윌슨']",9.12
32,8,10003,ESFP ESFJ ESTP ENTP ISFP ISFJ ISTJ INFJ INTP ,빽 투 더 퓨쳐 2,Back To The Future Part 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10003,https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/10003_P15_100000.jpg,1989,로버트 저메키스,"['마이클 J. 폭스', '크리스토퍼 로이드']",9.23
33,8,10002,ESFP ESFJ ESTP ENTP ISFP ISFJ ISTJ INFJ INTP ,빽 투 더 퓨쳐,Back To The Future,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10002,https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/10002_P17_100100.jpg,1985,로버트 저메키스,"['마이클 J. 폭스', '크리스토퍼 로이드', '리 톰슨', '크리스핀 글로버', '토머스 F. 윌슨']",9.42
34,9,27260,ESFP ESFJ ESTJ ENTP ISFP ISFJ ,파이트 클럽,Fight Club,https://movie.naver.com/movie/bi/mi/basic.nhn?code=27260,https://ssl.pstatic.net/imgmovie/mdi/mit110/0272/27260_P22_125837.jpg,1999,데이빗 핀처,"['브래드 피트', '에드워드 노튼', '헬레나 본햄 카터']",8.87
35,10,82473,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,캐리비안의 해적: 죽은 자는 말이 없다,Pirates of the Caribbean: Dead Men Tell No Tales,https://movie.naver.com/movie/bi/mi/basic.nhn?code=82473,https://ssl.pstatic.net/imgmovie/mdi/mit110/0824/82473_P48_135509.jpg,2017,요아킴 뢰닝,"['조니 뎁', '하비에르 바르뎀', '카야 스코델라리오', '브렌튼 스웨이츠', '제프리 러쉬']",8.29
36,10,51443,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,캐리비안의 해적: 낯선 조류,Pirates Of The Caribbean: On Stranger Tides,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51443,https://ssl.pstatic.net/imgmovie/mdi/mit110/0514/51443_P13_165651.jpg,2011,롭 마샬,"['조니 뎁', '제프리 러쉬', '페넬로페 크루즈']",8.08
37,10,43679,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,캐리비안의 해적 - 세상의 끝에서,Pirates Of The Caribbean: At World's End,https://movie.naver.com/movie/bi/mi/basic.nhn?code=43679,https://ssl.pstatic.net/imgmovie/mdi/mit110/0436/D3679-01.jpg,2007,고어 버빈스키,"['조니 뎁', '올랜도 블룸', '키이라 나이틀리', '스텔란 스카스가드', '빌 나이', '주윤발', '제프리 러쉬']",8.21
38,10,43678,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,캐리비안의 해적 - 망자의 함,Pirates Of The Caribbean: Dead Man's Chest,https://movie.naver.com/movie/bi/mi/basic.nhn?code=43678,https://ssl.pstatic.net/imgmovie/mdi/mit110/0436/D3678-01.jpg,2006,고어 버빈스키,"['조니 뎁', '올랜도 블룸', '키이라 나이틀리']",8.91
39,10,37148,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,캐리비안의 해적 - 블랙 펄의 저주,Pirates Of The Caribbean: The Curse Of The Black Pearl,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37148,https://ssl.pstatic.net/imgmovie/mdi/mit110/0371/C7148-00.jpg,2003,고어 버빈스키,"['조니 뎁', '제프리 러쉬']",9.07
40,11,151728,ESFP ESFJ ESTP ESTJ ENTP ISTP ISTJ ,코코,Coco,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151728,https://ssl.pstatic.net/imgmovie/mdi/mit110/1517/151728_P21_103229.jpg,2017,리 언크리치,"['벤자민 브랫', '가엘 가르시아 베르날', '안소니 곤잘레스 ']",9.32
43,12,31796,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,반지의 제왕: 왕의 귀환,The Lord Of The Rings: The Return Of The King,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31796,https://ssl.pstatic.net/imgmovie/mdi/mit110/0317/31796_P74_100250.jpg,2003,피터 잭슨,"['일라이저 우드', '숀 애스틴', '앤디 서키스', '이안 맥켈런', '리브 타일러', '비고 모텐슨', '올랜도 블룸', '존 라이스 데이비스', '빌리 보이드', '도미닉 모나한', '버나드 힐', '미란다 오토']",9.38
45,12,31795,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,반지의 제왕: 두 개의 탑,The Lord Of The Rings: The Two Towers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31795,https://ssl.pstatic.net/imgmovie/mdi/mit110/0317/31795_P38_100048.jpg,2002,피터 잭슨,"['일라이저 우드', '이안 맥켈런', '비고 모텐슨']",9.35
46,12,63951,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,비욘드 더 무비 - 반지의 제왕,National Geographic: Beyond The Movie - The Lord Of The Rings,https://movie.naver.com/movie/bi/mi/basic.nhn?code=63951,https://ssl.pstatic.net/imgmovie/mdi/mit110/0639/63951_P01_090942.jpg,2002,리자 코스,"['필 크로리', '존 호우']",7.92
47,12,31794,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,반지의 제왕: 반지 원정대,The Lord Of The Rings: The Fellowship Of The Ring,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31794,https://ssl.pstatic.net/imgmovie/mdi/mit110/0317/31794_P49_134515.jpg,2001,피터 잭슨,"['일라이저 우드', '이안 맥켈런', '리브 타일러', '비고 모텐슨', '숀 애스틴', '케이트 블란쳇']",9.3
48,12,90431,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,로드 오브 링스,The Lord of the Rings,https://movie.naver.com/movie/bi/mi/basic.nhn?code=90431,https://ssl.pstatic.net/imgmovie/mdi/mit110/0904/90431_P01_145439.jpg,1978,랄프 박시,"['크리스토퍼 가드', '윌리암 스퀴어', '마이클 스콜스', '존 허트', '사이몬 챈들러', '도미닉 가드', '노만 버드', '안소니 다니엘스']",6.33
49,13,97629,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTJ ISFP ISFJ ISTP ISTJ INFP INTP INTJ ,도리를 찾아서,Finding Dory,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97629,https://ssl.pstatic.net/imgmovie/mdi/mit110/0976/97629_P13_100955.jpg,2016,앤드류 스탠튼,"['엘런 드제너러스', '다이안 키튼', '이드리스 엘바', '도미닉 웨스트', '케이틀린 올슨', '헤이든 롤렌스', '앨버트 브룩스', '에드 오닐']",8.53
50,13,32116,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTJ ISFP ISFJ ISTP ISTJ INFP INTP INTJ ,니모를 찾아서 3D,Finding Nemo,https://movie.naver.com/movie/bi/mi/basic.nhn?code=32116,https://ssl.pstatic.net/imgmovie/mdi/mit110/0321/32116_P53_173240.jpg,2003,앤드류 스탠튼,"['앨버트 브룩스', '엘런 드제너러스', '알렉산더 굴드', '윌렘 대포', '브래드 거렛', '앨리슨 제니', '오스틴 펜들튼']",9.23
51,14,101966,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,토이 스토리 4,Toy Story 4,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101966,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101966_P09_114632.jpg,2019,조시 쿨리,"['톰 행크스', '애니 파츠', '토니 헤일', '팀 알렌']",9.02
53,14,130784,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,토이 스토리 공룡 전사들의 도시,Toy Story That Time Forgot,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130784,https://ssl.pstatic.net/imgmovie/mdi/mit110/1307/130784_P00_112236.jpg,2014,스티브 퍼셀,"['톰 행크스', '크리스틴 스칼', '팀 알렌', '티모시 달튼', '조안 쿠삭']",8.43
54,14,101967,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,토이 스토리 공포의 대탈출,Toy Story of Terror,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101967,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101967_P00_112121.jpg,2013,앤거스 맥클레인,"['톰 행크스', '팀 알렌', '조안 쿠삭']",9.35
56,14,150159,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,파티사우루스 렉스,Partysaurus Rex,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150159,https://ssl.pstatic.net/imgmovie/mdi/mit110/1501/150159_P01_175457.jpg,2012,마크 A. 월쉬,"['톰 행크스', '팀 알렌', '월리스 쇼운', '코리 버튼', '토니 콕스', '도널드 풀리러브', '에밀리 한', '돈 리클스']",9.2
58,14,66463,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,토이 스토리 3,Toy Story 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66463,https://ssl.pstatic.net/imgmovie/mdi/mit110/0664/66463_P46_190114.jpg,2010,리 언크리치,"['톰 행크스', '팀 알렌', '조안 쿠삭']",9.39
59,14,27578,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,토이 스토리 2,Toy Story 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=27578,https://ssl.pstatic.net/imgmovie/mdi/mit110/0275/27578_P00_171532.jpg,1999,존 라세터,"['톰 행크스', '팀 알렌', '조안 쿠삭']",9.26
60,14,17153,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,토이 스토리,Toy Story,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17153,https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7153-00.jpg,1995,존 라세터,"['톰 행크스', '팀 알렌']",9.33
61,15,66437,ESFP ESFJ ESTJ ENFP ENFJ ENTP ISTJ ,공주와 개구리,The Princess And The Frog,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66437,https://ssl.pstatic.net/imgmovie/mdi/mit110/0664/66437_P26_151408.jpg,2009,론 클레멘츠,"['아니카 노니 로즈', '브루노 캄포스', '키스 데이빗']",8.62
62,16,80631,ESFP ENFP ISFP ISFJ ISTJ INFP INTP ,곰돌이 푸,Winnie The Pooh,https://movie.naver.com/movie/bi/mi/basic.nhn?code=80631,https://ssl.pstatic.net/imgmovie/mdi/mit110/0806/80631_P21_155818.jpg,2011,스티븐 J. 앤더슨,"['크레이그 퍼거슨', '짐 커밍스']",8.39
63,17,17159,ESFP ESTJ ENFP ENFJ ISFJ INTP ,포레스트 검프,Forrest Gump,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17159,https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17159_P12_153452.jpg,1994,로버트 저메키스,['톰 행크스'],9.41
64,18,172836,ESFP ESFJ ESTP ESTJ ENFP ENTJ ISFJ ISTP ,원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172836,https://ssl.pstatic.net/imgmovie/mdi/mit110/1728/172836_P31_101450.jpg,2019,쿠엔틴 타란티노,"['레오나르도 디카프리오', '브래드 피트', '마고 로비']",7.71
65,19,100643,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,헝거게임 : 더 파이널,The Hunger Games: Mockingjay - Part 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100643,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100643_P60_181820.jpg,2015,프란시스 로렌스,"['제니퍼 로렌스', '조쉬 허처슨', '리암 헴스워스']",7.62
66,19,100644,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,헝거게임:모킹제이,The Hunger Games: Mockingjay - Part 1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100644,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100644_P39_113539.jpg,2014,프란시스 로렌스,"['제니퍼 로렌스', '리암 헴스워스', '줄리안 무어', '조쉬 허처슨', '필립 세이모어 호프만', '우디 해럴슨', '엘리자베스 뱅크스', '제프리 라이트', '스탠리 투치', '도날드 서덜랜드', '윌로우 쉴즈', '샘 클라플린', '지나 말론', '마허샬라 알리']",7.54
67,19,94170,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,헝거게임: 캣칭 파이어,The Hunger Games: Catching Fire,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94170,https://ssl.pstatic.net/imgmovie/mdi/mit110/0941/94170_P20_184157.jpg,2013,프란시스 로렌스,"['제니퍼 로렌스', '조쉬 허처슨', '리암 헴스워스', '필립 세이모어 호프만', '토비 존스', '지나 말론', '엘리자베스 뱅크스', '샘 클라플린', '우디 해럴슨', '폴라 맬콤슨']",8.33
68,19,79312,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,헝거게임 : 판엠의 불꽃,The Hunger Games,https://movie.naver.com/movie/bi/mi/basic.nhn?code=79312,https://ssl.pstatic.net/imgmovie/mdi/mit110/0793/79312_P43_165215.jpg,2012,게리 로스,"['제니퍼 로렌스', '조쉬 허처슨', '리암 헴스워스', '엘리자베스 뱅크스', '우디 해럴슨', '스탠리 투치']",7.19
69,20,39846,ESFP ESFJ ESTJ ENFP ENTJ ISFP ISFJ ISTP ISTJ INFP ,찰리와 초콜릿 공장,Charlie And The Chocolate Factory,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39846,https://ssl.pstatic.net/imgmovie/mdi/mit110/0398/C9846-00.jpg,2005,팀 버튼,['조니 뎁'],8.8
73,21,152396,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTJ ,카3: 새로운 도전,Cars 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152396,https://ssl.pstatic.net/imgmovie/mdi/mit110/1523/152396_P06_173803.jpg,2017,브라이언 피,"['아미 해머', '오웬 윌슨', '크리스텔라 알론조']",8.46
77,21,147030,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTJ ,스틸링 카스,Stealing Cars,https://movie.naver.com/movie/bi/mi/basic.nhn?code=147030,https://ssl.pstatic.net/imgmovie/mdi/mit110/1470/147030_P01_114406.jpg,2015,브래들리 캐플란,"['에모리 코헨', '윌리암 H. 머시', '펠리시티 허프만', '존 레귀자모']",7.0
80,22,52120,ESFP ESFJ ESTP ENFP ENTJ ISTJ INTJ ,업,Up,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52120,https://ssl.pstatic.net/imgmovie/mdi/mit110/0521/52120_P00_121612.jpg,2009,피트 닥터,"['에드워드 애스너', '조던 나가이', '크리스토퍼 플러머', '밥 피터슨']",9.33
